城市名称,日期,aqi,pm25,pm10,co,so2,o3,no2,主要污染物
北京,2017/9/19,35,6,28,0.22,2.67,83.17,12.5,无
上海,2017/9/19,96,56,63,0.68,7.33,192.83,21.83,臭氧1小时
天津,2017/9/19,36,14,42,0.31,2.25,66.63,9.75,无
重庆,2017/9/19,24,15,21,0.79,9.86,20.29,24.5,无
哈尔滨,2017/9/19,44,19,42,0.56,8.64,53.36,32.09,颗粒物(PM10)
齐齐哈尔,2017/9/19,35,12,36,0.6,2.2,66,5.6,无
牡丹江,2017/9/19,37,20,32,0.56,3.2,87.8,23.8,无
佳木斯,2017/9/19,28,5,24,0.44,3.4,62,9.2,无
绥化,2017/9/19,29,6,14,0.45,4,91.5,9.5,无
黑河,2017/9/19,31,13,31,0.63,10,67,10,无
大兴安岭,2017/9/19,23,8,15,0.3,5,73,6.5,无
伊春,2017/9/19,52,36,0,0.2,4,66,1,细颗粒物(PM2.5)
大庆,2017/9/19,31,14,9,0.44,3.4,86.6,7,无
七台河,2017/9/19,28,12,20,0.37,12.67,76,19.33,无
鸡西,2017/9/19,26,12,22,0.15,4.25,71.75,6,无
鹤岗,2017/9/19,33,8,32,0.35,6.25,70.5,6.25,无
双鸭山,2017/9/19,31,15,14,0.32,4.25,42.5,13.25,无
长春,2017/9/19,26,6,13,0.77,8.4,73.1,17.5,无
吉林,2017/9/19,27,6,22,0.62,6.83,81.33,10.83,无
延边,2017/9/19,50,27,50,0.93,8.67,144.33,9.33,颗粒物(PM10)
四平,2017/9/19,27,6,24,0.43,10.33,70,13,无
通化,2017/9/19,32,17,32,0.4,4,91.5,10.5,无
白城,2017/9/19,30,19,26,0.5,6,44,8,无
辽源,2017/9/19,27,4,10,0.7,5.5,87,7,无
松原,2017/9/19,35,15,33,0.75,4.5,77,9,无
白山,2017/9/19,51,25,56,0.75,4,89.5,6,颗粒物(PM10)
沈阳,2017/9/19,44,9,47,0.39,10.89,77.22,12.78,无
大连,2017/9/19,35,7,19,0.54,7.5,103.9,13.6,无
瓦房店,2017/9/19,30,9,30,0.3,4,86.5,9.5,无
鞍山,2017/9/19,34,8,33,1.24,11.14,66.29,20,无
抚顺,2017/9/19,24,4,20,0.37,6.17,71.33,8.5,无
本溪,2017/9/19,41,18,21,0.75,10.5,86.83,10.5,无
丹东,2017/9/19,39,21,34,0.8,6.75,125.5,9.5,无
锦州,2017/9/19,64,11,79,0.42,8,77.6,11.2,颗粒物(PM10)
营口,2017/9/19,38,7,23,0.28,12.5,120.5,18.25,无
阜新,2017/9/19,61,6,76,0.18,5,63.8,9.8,颗粒物(PM10)
辽阳,2017/9/19,40,3,42,0.25,9,77,9.25,无
铁岭,2017/9/19,40,8,40,0.35,6.25,76.5,11,无
朝阳,2017/9/19,59,7,70,0.4,6.25,80.25,8.5,颗粒物(PM10)
盘锦,2017/9/19,59,6,67,0.3,10.67,73,9,颗粒物(PM10)
葫芦岛,2017/9/19,51,13,55,0.2,7.25,95.25,12,无
呼和浩特,2017/9/19,33,6,20,0.6,10.57,106,11,无
包头,2017/9/19,33,10,27,0.47,5.33,100.33,6.67,无
乌海,2017/9/19,65,23,80,0.93,67.33,95,26,颗粒物(PM10)
集宁,2017/9/19,38,3,10,0.4,15,121,5,无
通辽,2017/9/19,24,7,22,0.1,5.33,65,4.67,无
赤峰,2017/9/19,56,10,71,0.6,7,63,7,颗粒物(PM10)
鄂尔多斯,2017/9/19,40,3,36,0.5,9.4,107.4,9.8,颗粒物(PM10)
临河,2017/9/19,43,13,25,0.15,8.5,94,8.5,无
锡林浩特,2017/9/19,37,6,38,0.4,12,63,9,颗粒物(PM10)
海拉尔,2017/9/19,32,22,0,0.3,1,56,14,无
乌兰浩特,2017/9/19,15,2,3,0.2,4,47.5,5.5,无
阿左旗,2017/9/19,51,16,53,0.37,17.67,126.67,6.67,颗粒物(PM10)
石家庄,2017/9/19,42,15,40,0.27,10,104.43,20.29,无
保定,2017/9/19,35,15,21,0.24,6,101.43,14.71,无
张家口,2017/9/19,46,6,48,0.26,4.6,101,10.6,颗粒物(PM10)
承德,2017/9/19,40,7,41,0.24,3.8,84.6,6.2,颗粒物(PM10)
唐山,2017/9/19,47,11,51,0.33,12,99.33,16.5,无
廊坊,2017/9/19,37,11,29,0.3,4.67,114.67,24,无
沧州,2017/9/19,41,8,23,0.23,13.67,132,15.33,无
衡水,2017/9/19,44,17,32,0.23,8,141,8.67,无
邢台,2017/9/19,50,14,50,0.5,8.25,136.25,14.5,颗粒物(PM10)
邯郸,2017/9/19,48,19,47,0.43,7.75,133.75,11.75,无
秦皇岛,2017/9/19,29,8,14,0.26,5.2,92,14.4,无
太原,2017/9/19,69,25,87,0.85,22.5,102.38,24.75,颗粒物(PM10)
大同,2017/9/19,36,6,33,0.66,10,102.8,6,无
阳泉,2017/9/19,38,14,28,0.67,7,100.67,15.33,颗粒物(PM10)
晋中,2017/9/19,63,35,70,0.8,23,125.33,19,颗粒物(PM10)
长治,2017/9/19,130,99,170,1.75,36,158.5,31,细颗粒物(PM2.5)
晋城,2017/9/19,97,72,109,4.67,59.83,115.83,42.17,细颗粒物(PM2.5)
临汾,2017/9/19,104,64,143,1.58,57,105.6,39,颗粒物(PM10)
运城,2017/9/19,92,63,122,1.4,60,144.25,22.5,细颗粒物(PM2.5)
朔州,2017/9/19,44,4,42,0.32,12.6,94.4,6.4,颗粒物(PM10)
忻州,2017/9/19,46,20,47,0.67,12.67,92.33,20.33,无
吕梁,2017/9/19,59,24,68,1.35,16,112.5,18.5,颗粒物(PM10)
西安,2017/9/19,57,26,64,0.96,12.38,63.85,34.23,颗粒物(PM10)
咸阳,2017/9/19,56,28,63,1.1,17.75,72.25,32.75,颗粒物(PM10)
延安,2017/9/19,57,21,64,0.75,12.75,103,39.25,颗粒物(PM10)
榆林,2017/9/19,37,11,34,0.88,14,111,15.5,无
渭南,2017/9/19,71,38,95,0.78,23.5,90,30.5,颗粒物(PM10)
商洛,2017/9/19,43,29,43,0.9,4,71,13,无
安康,2017/9/19,59,37,31,0.53,12,29,19.33,无
汉中,2017/9/19,42,23,41,1.1,23,67.25,16.25,无
宝鸡,2017/9/19,36,18,36,0.6,3.5,82.88,16.25,无
铜川,2017/9/19,95,58,132,1.55,18,72.5,51.75,颗粒物(PM10)
济南,2017/9/19,83,27,85,0.62,13.75,144.13,15.75,颗粒物(PM10)
章丘,2017/9/19,107,75,163,1.15,26,178.5,25,颗粒物(PM10)
青岛,2017/9/19,106,59,106,0.98,20,237.56,37.33,臭氧1小时
即墨,2017/9/19,114,59,85,0.9,16,227,18,臭氧1小时
胶州,2017/9/19,107,40,85,0.75,15.5,215,14,臭氧1小时
黄岛,2017/9/19,113,61,104,1.1,12,226,23.5,臭氧1小时
莱西,2017/9/19,128,79,132,1.3,28.5,256,25,臭氧1小时
平度,2017/9/19,135,76,156,1.05,26.5,270.5,23,臭氧1小时
淄博,2017/9/19,108,55,133,1.32,25.17,175.5,31,颗粒物(PM10)
德州,2017/9/19,20,5,17,0.85,10,125.5,8.5,无
烟台,2017/9/19,120,69,147,1.6,19.8,235.4,20.2,颗粒物(PM10)
莱州,2017/9/19,96,40,115,1.85,21.5,196.5,16,臭氧1小时
蓬莱,2017/9/19,38,33,54,0.4,9.5,173.5,5,臭氧1小时
招远,2017/9/19,96,58,114,0.75,68,198,15,臭氧1小时
潍坊,2017/9/19,102,67,118,0.83,22.67,212,17.33,细颗粒物(PM2.5)
寿光,2017/9/19,67,33,70,0.75,20.5,173.5,4,臭氧1小时
济宁,2017/9/19,102,44,74,0.77,17.33,204.33,13.33,臭氧1小时
泰安,2017/9/19,92,42,49,0.83,15.33,147.33,13.67,臭氧1小时
临沂,2017/9/19,96,34,98,0.85,13.25,198.75,16.5,臭氧1小时
菏泽,2017/9/19,118,83,187,1.17,18.33,210,29,颗粒物(PM10)
滨州,2017/9/19,72,22,87,1.13,15.33,150.33,12.67,无
东营,2017/9/19,48,15,50,0.53,21.33,122,9.33,无
威海,2017/9/19,136,81,145,1.73,22.33,271.67,19,臭氧1小时
文登,2017/9/19,119,52,116,1.2,16.5,238,8.5,臭氧1小时
荣成,2017/9/19,114,49,106,1.1,20.5,227,10,臭氧1小时
乳山,2017/9/19,110,41,90,1.05,15,220.5,10,臭氧1小时
枣庄,2017/9/19,93,49,126,0.54,27.8,139.8,9,颗粒物(PM10)
日照,2017/9/19,98,55,121,0.93,25,195.67,32.67,臭氧1小时
莱芜,2017/9/19,117,60,100,0.8,28,233,10,臭氧1小时
聊城,2017/9/19,50,28,52,0.65,22.5,148.5,17,无
乌鲁木齐,2017/9/19,65,26,79,1.03,15.17,106.17,38.17,颗粒物(PM10)
克拉玛依,2017/9/19,60,16,69,0.74,5.2,107.8,12.2,颗粒物(PM10)
石河子,2017/9/19,66,29,60,0.8,13.5,172.5,11.5,臭氧1小时
昌吉,2017/9/19,58,17,57,0.9,16.5,146.25,18.75,臭氧1小时
吐鲁番,2017/9/19,64,25,77,0.75,6,116.5,25,颗粒物(PM10)
库尔勒,2017/9/19,55,22,64,1.9,3.33,104,11.33,颗粒物(PM10)
阿克苏,2017/9/19,100,29,150,0.45,5.5,100.5,8,颗粒物(PM10)
喀什,2017/9/19,68,39,87,0.4,8,121,11.5,颗粒物(PM10)
伊宁,2017/9/19,64,32,79,0.9,11,127.33,17,颗粒物(PM10)
塔城,2017/9/19,40,6,14,0.3,0,125,22,无
哈密,2017/9/19,41,10,36,0.85,36.5,132,8.5,无
和田,2017/9/19,122,37,193,0.5,29,96.5,6.5,颗粒物(PM10)
阿勒泰,2017/9/19,44,6,51,0.5,1.5,82.5,4,颗粒物(PM10)
阿图什,2017/9/19,50,14,50,1,5,115,3,无
博乐,2017/9/19,68,21,86,0.6,8,129,11,颗粒物(PM10)
拉萨,2017/9/19,25,8,18,0.48,7,70.67,5,无
日喀则,2017/9/19,18,5,18,0.15,2,33.5,1,无
山南,2017/9/19,11,4,7,0.2,2,35,2.5,无
林芝,2017/9/19,11,3,11,0.15,0.5,26,4.5,无
昌都,2017/9/19,43,11,61,0.2,3,30.5,1.5,颗粒物(PM10)
那曲,2017/9/19,50,23,36,0.55,5,66,9.5,颗粒物(PM10)
阿里,2017/9/19,42,1,8,0.4,2,132,5,无
